THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,1,0,1000,29725,110,1000,27803,393,284,4/28/2024 7:04:33 PM,0
1000,2,0,1000,29204,110,1000,32505,393,282,4/28/2024 7:04:33 PM,0
1000,3,0,1000,32484,111,1000,40065,373,298,4/28/2024 7:04:34 PM,0
1000,4,0,1000,35477,110,999.923847578196,37493,393,276,4/28/2024 7:04:34 PM,0
1000,5,0,1000,40105,110,1000,31958,393,273,4/28/2024 7:04:34 PM,0
1000,6,1,1000,33814,110,1000,37487,393,269,4/28/2024 7:04:34 PM,0
1000,7,0,999.923847578196,27735,110,1000,36065,393,267,4/28/2024 7:04:34 PM,0
1000,8,0,1000,26249,109,1000,38540,413,244,4/28/2024 7:04:35 PM,0
1000,9,0,1000,28769,109,999.923847578196,36450,413,240,4/28/2024 7:04:35 PM,0
1000,10,0,1000,30904,108,999.923847578196,33819,434,219,4/28/2024 7:04:35 PM,0
1000,11,0,1000,31449,109,999.695413509548,41193,413,234,4/28/2024 7:04:35 PM,0
1000,12,0,1000,33504,108,999.923847578196,42713,434,212,4/28/2024 7:04:35 PM,0
1000,13,0,1000,39001,108,999.695413509548,40069,434,208,4/28/2024 7:04:36 PM,0
1000,14,0,1000,38571,107,999.695413509548,35895,455,186,4/28/2024 7:04:36 PM,0
1000,15,1,1000,32427,106,999.314767377287,28762,476,166,4/28/2024 7:04:36 PM,0
1000,16,0,999.923847578196,26323,107,998.782025129912,33490,455,179,4/28/2024 7:04:36 PM,0
1000,17,0,1000,27385,108,999.314767377287,43646,434,194,4/28/2024 7:04:37 PM,0
1000,18,0,1000,29698,107,999.695413509548,40975,455,171,4/28/2024 7:04:37 PM,0
1000,19,0,1000,32492,106,999.314767377287,33352,487,169,4/28/2024 7:04:37 PM,0
1000,20,0,1000,33432,107,998.782025129912,37898,455,163,4/28/2024 7:04:37 PM,0
1000,21,0,1000,35557,106,999.314767377287,40170,487,161,4/28/2024 7:04:37 PM,0
1000,22,0,1000,41494,106,998.782025129912,40496,487,157,4/28/2024 7:04:38 PM,0
1000,23,1,1000,40030,105,998.782025129912,35468,498,118,4/28/2024 7:04:38 PM,0
